context_uid,page,context_index,context
7_0,7,0,"Normal Aortic Anatomy
The aorta is the largest artery in the body and can be 
divided into 5 main anatomic segments (Figure 1): the 
root or sinus segment, which extends from the aortic 
valve annulus to the sinotubular junction; the ascend-
ing thoracic aorta, which extends from the sinotubular 
junction to the innominate artery; the aortic arch, which 
extends from the innominate to the left subclavian artery; 
the descending thoracic aorta, which extends from the 
left subclavian artery to the diaphragm; and the abdomi-
nal aorta, which extends from the diaphragm to the level 
of the aortic bifurcation. The aortic wall is composed of 3 layers (Figure 2): a 
thin inner intima, a thicker central media, and a thin outer 
adventitia. The intima consists of a layer of endothelial 
cells within a matrix of connective tissue. The media 
consists of smooth muscle cells, elastic fibers, collagen 
proteins, and polysaccharides sandwiched in >50 layers 
known as elastic lamellae. The media provides strength and distensibility to the aorta, features that are critical to 
circulatory function. The adventitia is composed of con-
nective tissue, fibroblasts, nerves, and the vasa vasorum, 
which perfuse the outer aortic wall and a substantial por-
tion of the media. Aortic Landing Zones
In addition to the standard anatomic descriptors of the 
aortic anatomy, there is a more technical classification of 
aortic anatomy that is used to plan, guide, and report aor-
tic interventions, especially endovascular stent-grafting."
7_1,7,1,"The media provides strength and distensibility to the aorta, features that are critical to 
circulatory function. The adventitia is composed of con-
nective tissue, fibroblasts, nerves, and the vasa vasorum, 
which perfuse the outer aortic wall and a substantial por-
tion of the media. Aortic Landing Zones
In addition to the standard anatomic descriptors of the 
aortic anatomy, there is a more technical classification of 
aortic anatomy that is used to plan, guide, and report aor-
tic interventions, especially endovascular stent-grafting. Because the clinical success of thoracic aortic endovas-
cular procedures is influenced by the proximal sealing 
zone, in this system the thoracic and abdominal aorta are 
divided into 11 landing zones, as detailed in Figure 3. Note that Roselli et al2 have proposed a modifica-
tion of zone 0, dividing it into 3 subsegments, in which 
0A extends from the annulus to the distal margin of 
the highest coronary, 0B extends above the coronary to 
the distal margin of the right pulmonary artery, and 0C 
extends from the right pulmonary artery to the distal end 
of the origin of the innominate artery.Table 1."
7_2,7,2,"Aortic Landing Zones
In addition to the standard anatomic descriptors of the 
aortic anatomy, there is a more technical classification of 
aortic anatomy that is used to plan, guide, and report aor-
tic interventions, especially endovascular stent-grafting. Because the clinical success of thoracic aortic endovas-
cular procedures is influenced by the proximal sealing 
zone, in this system the thoracic and abdominal aorta are 
divided into 11 landing zones, as detailed in Figure 3. Note that Roselli et al2 have proposed a modifica-
tion of zone 0, dividing it into 3 subsegments, in which 
0A extends from the annulus to the distal margin of 
the highest coronary, 0B extends above the coronary to 
the distal margin of the right pulmonary artery, and 0C 
extends from the right pulmonary artery to the distal end 
of the origin of the innominate artery.Table 1. Associated GuidelinesTitle OrganizationPublic ation Ye ar 
(Refer ence)
Guidelines
Thoracic endovascular aortic repair for descending thoracic aortic aneurysms SVS 20211
Valvular heart disease ACC/AHA 20202
Large vessel vasculitis EULAR 20203
Blood c holesterol AHA/ ACC/AACVPR /AAPA/ABC/ACPM/ADA/AGS/
APhA/A SPC /NLA/PCNA20194
Congenita l heart disease AHA/ ACC 20195
Abdominal aortic aneurysm SVS 20186
High blood pressure ACC/AHA/ AAPA /ABC/ACPM/ AGS/APhA/A SH/
ASPC/NMA/P CNA20187
Lower extremity peripheral artery diseaseA HA/A CC 20178
Descending thoracic aorta  diseases ESVS 20179
Bicuspid aortic valves st atement of clariﬁcation ACC/AHA 201610
Vascular graft infections, mycotic aneurysms, and endovascular infections AHA 201611
Endovascular repair of traumatic thoracic aortic injury SVS 201112
Thoracic aortic diseaseA CCF/ AHA/ AATS/ACR/ASA/S CA/SCAI/SIR/STS/
SVM201013
Coronary and other atherosclerotic vascular diseaseA HA/A CC 200614
Acute type A aortic dissection AATS 202115
Type B aortic dissection STS 202216
AACVPR  indicates American Association of Cardiovascular and Pulmonary Rehabilit ation; AAPA , American Academy of Physician Assista nts; AATS, American As-sociation for Thoracic Surgery; ABC, Association of Black Cardiologists; ACC, American College of Cardiology; ACCF, American College of Cardiology Foundation; 
ACPM, American College of Preventive Medicine; ACR, American College of Radiology; ADA, American Diabetes Association; AGS, American Geriatrics Society; 
AHA, American Heart Association; APhA, American Pharmacists Association; ASA, American Society of Anesthesiologists; ASH, American Society of Hematology;ASPC, American Society for Preventive Cardiology; ESVS, European Society for Vascular Surgery; EULAR, European League Against Rheumatism; NLA, National 
Lipid Association; NMA, National Medical Association; PCN A, Preventive Cardiovascular Nurses Association; SCA, Society of Cardiovascular Anesthesiologists; 
SCAI, Society for Cardiovascular Angiography and Interventions; SIR, Society of Interventional Radiology; STS, Society of Thoracic Surgeons; SVM, Society for 
Vascular Medicine; and SV S, Society for V ascular Surgery ."
8_0,8,0,"Definitions of Dilation and Aneurysm of the 
Aortic Root and Ascending Thoracic Aorta
The conventional definition of an arterial aneurysm is any 
artery that is dilated to at least 1.5 times its expected 
normal diameter.3 This definition applies well to the 
abdominal and descending thoracic aorta. However, it 
has long been recognized that this definition fails when 
it comes to defining aneurysms of the aortic root and 
ascending thoracic aorta. For example, a man in his 40s 
would be expected to have an average aortic root diam-
eter of 3.5 cm; applying the standard definition of ≥1.5 
times reference diameter, his aortic root would have to 
reach 5.25 cm before it would be considered an aneu-
rysm, whereas most experts would consider his aorta to be an aneurysm well below that diameter. Indeed, if this 
patient had Marfan syndrome or a familial thoracic aor-
tic aneurysm, aortic repair would be recommended at a 
diameter of ≤5.0 cm, a size that would not even be large 
enough to be termed an “aneurysm.”
The most important consideration in deciding the 
diameter thresholds at which to call the root and ascend-
ing aorta dilated or aneurysmal is based on the natural 
history of such abnormal aortas."
8_1,8,1,"However, it 
has long been recognized that this definition fails when 
it comes to defining aneurysms of the aortic root and 
ascending thoracic aorta. For example, a man in his 40s 
would be expected to have an average aortic root diam-
eter of 3.5 cm; applying the standard definition of ≥1.5 
times reference diameter, his aortic root would have to 
reach 5.25 cm before it would be considered an aneu-
rysm, whereas most experts would consider his aorta to be an aneurysm well below that diameter. Indeed, if this 
patient had Marfan syndrome or a familial thoracic aor-
tic aneurysm, aortic repair would be recommended at a 
diameter of ≤5.0 cm, a size that would not even be large 
enough to be termed an “aneurysm.”
The most important consideration in deciding the 
diameter thresholds at which to call the root and ascend-
ing aorta dilated or aneurysmal is based on the natural 
history of such abnormal aortas. Borger et al4 studied 
201 patients with bicuspid aortic valve (BAV) undergo-
ing aortic valve replacement (AVR) (those undergoing 
concomitant replacement of the ascending aorta were 
excluded) and followed them for 10 to 15 years; they 
found that those with baseline aortic diameters of 4.5 cm 
to 4.9 cm had a significantly increased risk of aneurysm, Table 2. Applying American College of Cardiology/American Heart Association Class of Recommendation and Level of Evidence to 
Clinical Strategies, Interventions, Treatments, or Diagnostic Testing in Patient Care* (Updated May 2019)"
9_0,9,0,"CLINICAL STATEMENTS  
AND GUIDELINESdissection, or sudden death (P<0.001) compared with 
those with diameters <4.5 cm (Figure 4). To evaluate the risk of type A aortic dissection at various 
diameters below the traditional 5.5 cm threshold for pro-
phylactic aortic repair, Paruchuri et al5 plotted a distribu-
tion curve of ascending aortic size in a community sample 
from the MESA (Multi-Ethnic Study of Atherosclerosis) database. They then analyzed the number of dissections 
(numerator) at each aortic diameter and the population at 
risk at each aortic diameter (denominator). They found that, 
relative to a control aortic diameter of ≤ 3.4 cm, a diameter 
of 4.0 cm to 4.4 cm conferred an 89-fold increased risk of 
dissection, and a diameter of ≥ 4.5 cm conferred a 6000-
fold increased risk (Figure 5), albeit these are only relative 
Figure 1. The Anatomy of the Aorta and Its Main Branches."
10_0,10,0,"CLINICAL STATEMENTS  
AND GUIDELINESrisk estimates and do not inform absolute risk. It follows 
that the increase in risk at 4.0 cm to 4.4 cm justifies defin-
ing an aorta of this size “dilated,” and the abrupt increase 
in risk at a diameter of ≥ 4.5 cm justifies defining an aorta 
of this size as an “aneurysm.” Using this approach, of the 
subjects in the MESA database, only 2.6% would be con-
sidered to have a dilated aorta and only 0.2% to have an 
aneurysm. This definition of a dilated ascending aorta being ≥4.0 
cm is consistent with what was proposed in the 2014 
European Society of Cardiology guidelines on the diag-
nosis and treatment of aortic diseases, in which aortic 
“dilation” was similarly defined as an aorta diameter of 
>4.0 cm.6
Finally, in the clinical setting, the term “dilation” is 
preferred to “ectasia” to describe mild aortic enlarge-
ment. Historically, there has been a lack of uniformity in 
the use of “ectasia” in image interpretation. Many radi-
ologists use “ectatic” rather than “dilated” to describe 
a mildly enlarged aorta, whereas others use “ectatic” 
to describe an abnormal aortic shape, such as a “tor-
tuous” aorta.7 Even more problematic is the fact that 
some imaging groups use the term “ectasia” to describe 
larger aortas, such as those 4.5 cm to 5.4 cm in diam-
eter,8 which overlaps with what most experts would 
consider to be an aneurysm."
10_1,10,1,"This definition of a dilated ascending aorta being ≥4.0 
cm is consistent with what was proposed in the 2014 
European Society of Cardiology guidelines on the diag-
nosis and treatment of aortic diseases, in which aortic 
“dilation” was similarly defined as an aorta diameter of 
>4.0 cm.6
Finally, in the clinical setting, the term “dilation” is 
preferred to “ectasia” to describe mild aortic enlarge-
ment. Historically, there has been a lack of uniformity in 
the use of “ectasia” in image interpretation. Many radi-
ologists use “ectatic” rather than “dilated” to describe 
a mildly enlarged aorta, whereas others use “ectatic” 
to describe an abnormal aortic shape, such as a “tor-
tuous” aorta.7 Even more problematic is the fact that 
some imaging groups use the term “ectasia” to describe 
larger aortas, such as those 4.5 cm to 5.4 cm in diam-
eter,8 which overlaps with what most experts would 
consider to be an aneurysm. Lastly, in imaging of the 
coronary arteries, “ectasia” is typically used to describe 
diffuse (rather than focal) coronary artery dilation,9 
which may lead to some clinical uncertainty when “ecta-
sia” is applied to the aorta.2.3.1. Normalizing Aortic Root and Ascending Aortic 
Diameters for Body Size
As with the aortic diameter thresholds for surgery pre-
sented in this guideline, it recognized that the 4.0 cm 
and 4.5 cm diameter thresholds discussed previously 
Figure 2. A Simplified Diagram Depicting the Key Histologic 
Components of the Aortic Wall."
10_2,10,2,"Lastly, in imaging of the 
coronary arteries, “ectasia” is typically used to describe 
diffuse (rather than focal) coronary artery dilation,9 
which may lead to some clinical uncertainty when “ecta-
sia” is applied to the aorta.2.3.1. Normalizing Aortic Root and Ascending Aortic 
Diameters for Body Size
As with the aortic diameter thresholds for surgery pre-
sented in this guideline, it recognized that the 4.0 cm 
and 4.5 cm diameter thresholds discussed previously 
Figure 2. A Simplified Diagram Depicting the Key Histologic 
Components of the Aortic Wall. The medial layer in human aortas contains >50 alternating layers of 
elastin and smooth muscle cells (whereas only 5 are shown in this 
simplified illustration). Adapted (cropped) from “Illustration of tunics of 
the arteries vs veins” by Malgosia Wilk-Blaszczak, used under CC-BY 
4.0. “Illustration of tunics of the arteries vs veins” is adapted (cropped) 
from figure 20.3 in BC OpenStax Anatomy and Physiology used 
under CC-BY 4.0. Classification of Aortic Anatomic Segments by 11 
Landing Zones."
10_3,10,3,"Adapted (cropped) from “Illustration of tunics of 
the arteries vs veins” by Malgosia Wilk-Blaszczak, used under CC-BY 
4.0. “Illustration of tunics of the arteries vs veins” is adapted (cropped) 
from figure 20.3 in BC OpenStax Anatomy and Physiology used 
under CC-BY 4.0. Classification of Aortic Anatomic Segments by 11 
Landing Zones. Zone 0 (involves the ascending to distal end of the origin of the 
innominate artery); Zone 1 (involves the origin of the left common 
carotid; between the innominate and the left carotid); Zone 2 (involves 
the origin of the left subclavian; between the left carotid and the 
left subclavian); Zone 3 (involves the proximal descending thoracic 
aorta down to the T4 vertebral body; the first 2 cm distal to the left 
subclavian); Zone 4 (the end of zone 3 to the mid-descending aorta – 
T6); Zone 5 (the mid-descending aorta to the celiac); Zone 6 (involves 
the origin of the celiac; the celiac to the superior mesenteric); Zone 
7 (involves the origin of the superior mesenteric artery; the superior 
mesenteric to the renals); Zone 8 (involves the origin of the renal 
arteries; the renal to the infrarenal abdominal aorta); Zone 9 (the 
infrarenal abdominal aorta to the level of aortic bifurcation ); Zone 10 
(the common iliac); Zone 11 (involves the origin of the external iliac 
arteries). From Czerny et al.1 Copyright 2019, with permission from 
Elsevier, Inc., Now Medical Studios, and Oxford University Press on 
behalf of the European Association for Cardio-Thoracic Surgery."
